Name, "Número atómico", "Símbolo", "Masa", "Masa exacta", "Ionización", "Afinidad electrónica", "Electronegatividad", "Radio covalente", "Radio de Van der Waals", "Punto de fusión", "Punto de ebullición", "Familia"
"Uranio", "92", "U", "238,029 u", "238.0507882", "6.194 eV", "0 eV", "1,38", "0 pm", "230 pm", "1408 K", "4407 K", "Other_Metal"
"Neptunio", "93", "Np", "237 u", "237.0481734", "6.266 eV", "0 eV", "1,36", "0 pm", "200 pm", "912 K", "4175 K", "Other_Metal"
"Plutonio", "94", "Pu", "244 u", "244.064204", "6.026 eV", "0 eV", "1,28", "0 pm", "200 pm", "913 K", "3505 K", "Other_Metal"
"Americio", "95", "Am", "243 u", "243.0613811", "5.974 eV", "0 eV", "1,3", "0 pm", "200 pm", "1449 K", "2880 K", "Other_Metal"
"Curio", "96", "Cm", "247 u", "247.070354", "5.991 eV", "0 eV", "1,3", "0 pm", "200 pm", "1620 K", "3383 K", "Other_Metal"
"Berkelio", "97", "Bk", "247 u", "247.070307", "6.198 eV", "0 eV", "1,3", "0 pm", "200 pm", "1258 K", "983 K", "Other_Metal"
"Californio", "98", "Cf", "251 u", "251.079587", "6.282 eV", "0 eV", "1,3", "0 pm", "200 pm", "1172 K", "1743 K", "Other_Metal"
"Einstenio", "99", "Es", "252 u", "252.08298", "6.42 eV", "0 eV", "1,3", "0 pm", "200 pm", "1133 K", "0 K", "Other_Metal"
"Fermio", "100", "Fm", "257 u", "257.095105", "6.5 eV", "0 eV", "1,3", "0 pm", "200 pm", "1125 K", "0 K", "Other_Metal"
"Mendelevio", "101", "Md", "258 u", "258.098431", "6.58 eV", "0 eV", "1,3", "0 pm", "200 pm", "1100 K", "0 K", "Other_Metal"
"Nobelio", "102", "No", "259 u", "259.10103", "6.65 eV", "0 eV", "1,3", "0 pm", "200 pm", "1100 K", "0 K", "Other_Metal"
"Lawrencio", "103", "Lr", "262 u", "262.10963", "4.9 eV", "0 eV", "Valor no definido", "0 pm", "200 pm", "1900 K", "0 K", "Other_Metal"
"Rutherfordio", "104", "Rf", "265 u", "261.10877", "6 eV", "0 eV", "Valor no definido", "0 pm", "200 pm", "0 K", "0 K", "Transition"
"Dubnio", "105", "Db", "268 u", "262.11408", "0 eV", "0 eV", "Valor no definido", "0 pm", "200 pm", "0 K", "0 K", "Transition"
"Seaborgio", "106", "Sg", "271 u", "263.11832", "0 eV", "0 eV", "Valor no definido", "0 pm", "200 pm", "0 K", "0 K", "Transition"
"Bohrio", "107", "Bh", "272 u", "264.1246", "0 eV", "0 eV", "Valor no definido", "0 pm", "200 pm", "0 K", "0 K", "Transition"
"Hasio", "108", "Hs", "270 u", "265.13009", "0 eV", "0 eV", "Valor no definido", "0 pm", "200 pm", "0 K", "0 K", "Transition"
"Meitnerio", "109", "Mt", "276 u", "268.13873", "0 eV", "0 eV", "Valor no definido", "0 pm", "200 pm", "0 K", "0 K", "Transition"
"Darmstatio", "110", "Ds", "281 u", "271.14606", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Transition"
"Roentgenio", "111", "Rg", "280 u", "272.15362", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Transition"
"Copernicio", "112", "Cn", "285 u", "285.17411", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Transition"
"Nihonio", "113", "Nh", "284 u", "284.17808", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Other_Metal"
"Flerovio", "114", "Fl", "289 u", "289.18728", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Other_Metal"
"Moscovio", "115", "Mc", "288 u", "288.19249", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Other_Metal"
"Livermorio", "116", "Lv", "293 u", "292.19979", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Other_Metal"
"Teneso", "117", "Ts", "Valor desconocido", "No hay datos", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Halogen"
"Oganesón", "118", "Og", "294 u", "No hay datos", "0 eV", "0 eV", "Valor no definido", "0 pm", "0 pm", "0 K", "0 K", "Noblegas"
